Serial-No,Product_Name,Price in ₹,Product_Stars,Ratings,Reviews,Brand,image_url,features,Rating_Count,Type of Sorting,Review_Count
58,"Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch","₹1,999",4.2,83325,6694,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.69'' TFT display with 500 nits brightness and 240*280pxNoise Buzz (call from dial pad, access recent calls and save up to 10 contacts)Bluetooth calling equipped with Tru SyncWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 Year Manufacturer Warranty",50K-100K,Popularity,1K-10K
59,"Noise ColorFit Pro4 Max 1.8"" BT Calling, Noise detection, Noise Health Suite Smartwatch","₹3,999",4.2,6082,537,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.28 display (240*240px, 500 nits)AI voice assistantNoiseFit Track app integrationNoise Health SuiteTM (SpO2, activity record, 24*7 heart rate tracking, stress monitor, sleep monitor & breathe)With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",1K-10K,Popularity,0K-1K
60,"Noise ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes Smartwatch","₹1,499",4.2,278207,25765,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"Screen Size: 1.83 inch HD Display
Bluetooth Calling: Save upto 10 Contacts|Mic & Speaker|Dial Pad
Premium Metal Design
Multiple Sports Modes
IP68
HR, SpO2 and Sleep Monitoring
Notifications and alerts
100+ Cloud Watch FacesWith Call FunctionTouchscreenFitness & Outdoor1 Year Warranty from the Date of Purchase",200K-300K,Popularity,20K-30K
61,"Noise ColorFit Loop Advanced BT Calling with 1.85"" display,130+Sports Modes Smartwatch","₹2,499",4.2,816,59,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"Calling Feature: Bluetooth Calling with Inbuilt Mic, Inbuilt Speaker and DialerFitness and Productivity: Smart Notifications, 50+ Sports Modes, Alarm, Stopwatch, Flashlight, Timer, Find Phone, Music Player, Shutter (Remote Camera),IP68 water resistantHealth Tracking: SpO2 (Real-Time Monitoring), Heart Rate, Sleep, Breath TrainingAdditional Features: 100+ Watch Faces, Up to 7 Days Battery, Customizable Watch Face, Weather, Voice Assistance, Alarm, Stopwatch, Calculator.With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",0K-1K,Popularity,0K-1K
62,Noise ColorFit Vision 2 with 1.78'' Always on AMOLED Display Smartwatch,"₹2,499",4.1,11458,1107,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty,10K-50K,Popularity,1K-10K
63,"Noise Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2 Smartwatch","₹2,999",4.2,2879,201,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.78 Amoled with always on featureMenstrual Cycle Tracking | Heart Rate Monitor, Stress & Sleep MonitorWeather and Quick RepliesIP68 Waterproof| multiple sports modeBattery : Upto 7 days/ 30 Days StandbyTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",1K-10K,Popularity,0K-1K
64,"Noise Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2 Smartwatch","₹2,999",4.2,2879,201,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,TouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty,1K-10K,Popularity,0K-1K
65,Noise ColorFit Vision 2 Buzz Smartwatch,"₹2,999",4.3,12125,1057,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.69inch HD Display|550 Nits Brightness| 2.5D Curved Touch DisplayBluetooth Calling & Dialpad(Save upto 10 contacts)| Ultra Slim & Lightweight150+ Watch Faces| HR & SpO2 MonitoringIP68: Dust, Sweat & Splash ResistantWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 Year Warranty from the Date of Purchase",10K-50K,Popularity,1K-10K
66,Noise ColorFit Pro 4 Smartwatch,"₹2,999",4.3,13303,1008,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,1.69 TFT LCD DisplayIn-Built Games|Bluetooth CallingVoice Assistance (AI voice assistance)Noise Health Suite|Weather ReportUp to 7-Day Battery100+ Watch Faces|IP67 WaterproofWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty,10K-50K,Popularity,1K-10K
67,Noise ColorFit Vision 2 with 1.78'' Always on AMOLED Display Smartwatch,"₹2,499",4.1,11458,1107,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.69'' TFT display (240*280px, 500 nits, 218 PPI)Noise Health Suite (SpO2, 24*7 heart rate tracking, activity tracker, sleep tracker, stress monitor & female health tracker)Productivity and utility features (hand wash reminder, drink water reminder, DND, weather forecast, call mute & rejection, alarm, idle alert, stopwatch, timer, remote music control & find my phone)40 sports modes (10 inbuilt & 30 in app) | 150+ cloud-based watch facesUp to 10 days of battery (300mAh)5 color options: Jet black, Rose pink, Olive green, Midnight blue, Mist greyTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 Year Manufacturer Warranty",10K-50K,Popularity,1K-10K
68,Noise ColorFit Pro 2 Smartwatch,"₹1,299",4.1,148690,16913,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.69 inch HD DisplayHR, SpO2 and Sleep MonitoringGuided Breathing20+ Sports Modes5ATM Dust, Sweat & Splash Resistant100+ Cloud Watch FacesSupports Google Fit and Apple HealthTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 year warranty from the date of purchase",100K-200K,Popularity,10K-20K
69,"Noise Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish Smartwatch","₹1,999",4.4,1042,175,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.69 inch HD DisplayHR, SpO2 and Sleep MonitoringGuided Breathing20+ Sports Modes5ATM Dust, Sweat & Splash Resistant100+ Cloud Watch FacesSupports Google Fit and Apple HealthTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 year warranty from the date of purchase",1K-10K,Popularity,0K-1K
